Countries of destination , Years, MU: Persons, Valoare
Other countries, Year 2003, Number of persons, 799
Other countries, Year 2004, Number of persons, 1072
Other countries, Year 2005, Number of persons, 741
Other countries, Year 2006, Number of persons, 1085
Other countries, Year 2007, Number of persons, 776
Other countries, Year 2008, Number of persons, 805
Other countries, Year 2009, Number of persons, 1093
Other countries, Year 2010, Number of persons, 1193
Other countries, Year 2011, Number of persons, 3207
Other countries, Year 2012, Number of persons, 2757
Other countries, Year 2013, Number of persons, 2536
Other countries, Year 2014, Number of persons, 1684
Other countries, Year 2015, Number of persons, 2647
Other countries, Year 2016, Number of persons, 4150
Other countries, Year 2017, Number of persons, 4355
Other countries, Year 2018, Number of persons, 5458
Other countries, Year 2019, Number of persons, 5613
Other countries, Year 2020, Number of persons, 4899
Other countries, Year 2021, Number of persons, 10049
Other countries, Year 2022, Number of persons, 15032
Other countries, Year 2023, Number of persons, 15689
Other countries, Year 2024, Number of persons, 17551
