Sex, Macroregions  development regions and counties, Years, MU: Persons, Valoare
Total, Bacau, Year 2005, Number of persons, 479
Total, Bacau, Year 2006, Number of persons, 654
Total, Bacau, Year 2007, Number of persons, 333
Total, Bacau, Year 2008, Number of persons, 320
Total, Bacau, Year 2009, Number of persons, 369
Total, Bacau, Year 2010, Number of persons, 293
Total, Bacau, Year 2011, Number of persons, 415
Total, Bacau, Year 2012, Number of persons, 438
Total, Bacau, Year 2013, Number of persons, 479
Total, Bacau, Year 2014, Number of persons, 434
Total, Bacau, Year 2015, Number of persons, 592
Total, Bacau, Year 2016, Number of persons, 856
Total, Bacau, Year 2017, Number of persons, 880
Total, Bacau, Year 2018, Number of persons, 1062
Total, Bacau, Year 2019, Number of persons, 1172
Total, Bacau, Year 2020, Number of persons, 782
Total, Bacau, Year 2021, Number of persons, 1383
Total, Bacau, Year 2022, Number of persons, 2266
Total, Bacau, Year 2023, Number of persons, 2365
Total, Bacau, Year 2024, Number of persons, 2695
Total, Botosani, Year 1990, Number of persons, 102
Total, Botosani, Year 1991, Number of persons, 157
Total, Botosani, Year 1992, Number of persons, 77
Total, Botosani, Year 1993, Number of persons, 45
Total, Botosani, Year 1994, Number of persons, 50
Total, Botosani, Year 1995, Number of persons, 61
Total, Botosani, Year 1996, Number of persons, 109
Total, Botosani, Year 1997, Number of persons, 144
Total, Botosani, Year 1998, Number of persons, 123
Total, Botosani, Year 1999, Number of persons, 113
Total, Botosani, Year 2000, Number of persons, 137
Total, Botosani, Year 2001, Number of persons, 89
Total, Botosani, Year 2002, Number of persons, 92
Total, Botosani, Year 2003, Number of persons, 97
Total, Botosani, Year 2004, Number of persons, 90
Total, Botosani, Year 2005, Number of persons, 96
Total, Botosani, Year 2006, Number of persons, 126
Total, Botosani, Year 2007, Number of persons, 91
Total, Botosani, Year 2008, Number of persons, 125
Total, Botosani, Year 2009, Number of persons, 135
Total, Botosani, Year 2010, Number of persons, 117
Total, Botosani, Year 2011, Number of persons, 235
Total, Botosani, Year 2012, Number of persons, 239
Total, Botosani, Year 2013, Number of persons, 270
Total, Botosani, Year 2014, Number of persons, 186
Total, Botosani, Year 2015, Number of persons, 277
Total, Botosani, Year 2016, Number of persons, 378
Total, Botosani, Year 2017, Number of persons, 385
Total, Botosani, Year 2018, Number of persons, 432
Total, Botosani, Year 2019, Number of persons, 474
Total, Botosani, Year 2020, Number of persons, 366
Total, Botosani, Year 2021, Number of persons, 638
Total, Botosani, Year 2022, Number of persons, 1030
Total, Botosani, Year 2023, Number of persons, 1110
Total, Botosani, Year 2024, Number of persons, 1514
Total, Iasi, Year 1990, Number of persons, 381
Total, Iasi, Year 1991, Number of persons, 322
Total, Iasi, Year 1992, Number of persons, 214
Total, Iasi, Year 1993, Number of persons, 112
Total, Iasi, Year 1994, Number of persons, 139
Total, Iasi, Year 1995, Number of persons, 319
Total, Iasi, Year 1996, Number of persons, 309
Total, Iasi, Year 1997, Number of persons, 457
Total, Iasi, Year 1998, Number of persons, 404
Total, Iasi, Year 1999, Number of persons, 285
Total, Iasi, Year 2000, Number of persons, 423
Total, Iasi, Year 2001, Number of persons, 340
Total, Iasi, Year 2002, Number of persons, 128
Total, Iasi, Year 2003, Number of persons, 282
Total, Iasi, Year 2004, Number of persons, 386
Total, Iasi, Year 2005, Number of persons, 397
Total, Iasi, Year 2006, Number of persons, 550
Total, Iasi, Year 2007, Number of persons, 341
Total, Iasi, Year 2008, Number of persons, 328
Total, Iasi, Year 2009, Number of persons, 453
Total, Iasi, Year 2010, Number of persons, 331
