Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
Total, Total, Total, Harghita, Year 2000, Number of persons, 342641
Total, Total, Total, Harghita, Year 2001, Number of persons, 342495
Total, Total, Total, Harghita, Year 2002, Number of persons, 342136
Total, Total, Total, Harghita, Year 2003, Number of persons, 341296
Total, Total, Total, Harghita, Year 2004, Number of persons, 340579
Total, Total, Total, Harghita, Year 2005, Number of persons, 339636
Total, Total, Total, Harghita, Year 2006, Number of persons, 339126
Total, Total, Total, Harghita, Year 2007, Number of persons, 338480
Total, Total, Total, Harghita, Year 2008, Number of persons, 338031
Total, Total, Total, Harghita, Year 2009, Number of persons, 337633
Total, Total, Total, Harghita, Year 2010, Number of persons, 337294
Total, Total, Total, Harghita, Year 2011, Number of persons, 336684
Total, Total, Total, Mures, Year 1992, Number of persons, 618243
Total, Total, Total, Mures, Year 1993, Number of persons, 616650
Total, Total, Total, Mures, Year 1994, Number of persons, 614732
Total, Total, Total, Mures, Year 1995, Number of persons, 614110
Total, Total, Total, Mures, Year 1996, Number of persons, 612437
Total, Total, Total, Mures, Year 1997, Number of persons, 611001
Total, Total, Total, Mures, Year 1998, Number of persons, 609877
Total, Total, Total, Mures, Year 1999, Number of persons, 609309
Total, Total, Total, Mures, Year 2000, Number of persons, 608591
Total, Total, Total, Mures, Year 2001, Number of persons, 608931
Total, Total, Total, Mures, Year 2002, Number of persons, 609141
Total, Total, Total, Mures, Year 2003, Number of persons, 608565
Total, Total, Total, Mures, Year 2004, Number of persons, 608289
Total, Total, Total, Mures, Year 2005, Number of persons, 607407
Total, Total, Total, Mures, Year 2006, Number of persons, 606961
Total, Total, Total, Mures, Year 2007, Number of persons, 605853
Total, Total, Total, Mures, Year 2008, Number of persons, 605092
Total, Total, Total, Mures, Year 2009, Number of persons, 604647
Total, Total, Total, Mures, Year 2010, Number of persons, 603708
Total, Total, Total, Mures, Year 2011, Number of persons, 602537
Total, Total, Total, Sibiu, Year 1992, Number of persons, 458868
Total, Total, Total, Sibiu, Year 1993, Number of persons, 456986
Total, Total, Total, Sibiu, Year 1994, Number of persons, 457056
Total, Total, Total, Sibiu, Year 1995, Number of persons, 457434
Total, Total, Total, Sibiu, Year 1996, Number of persons, 456433
Total, Total, Total, Sibiu, Year 1997, Number of persons, 455541
Total, Total, Total, Sibiu, Year 1998, Number of persons, 454791
Total, Total, Total, Sibiu, Year 1999, Number of persons, 454498
Total, Total, Total, Sibiu, Year 2000, Number of persons, 454652
Total, Total, Total, Sibiu, Year 2001, Number of persons, 455251
Total, Total, Total, Sibiu, Year 2002, Number of persons, 455347
Total, Total, Total, Sibiu, Year 2003, Number of persons, 455244
Total, Total, Total, Sibiu, Year 2004, Number of persons, 455093
Total, Total, Total, Sibiu, Year 2005, Number of persons, 455436
Total, Total, Total, Sibiu, Year 2006, Number of persons, 455724
Total, Total, Total, Sibiu, Year 2007, Number of persons, 456189
Total, Total, Total, Sibiu, Year 2008, Number of persons, 457417
Total, Total, Total, Sibiu, Year 2009, Number of persons, 458919
Total, Total, Total, Sibiu, Year 2010, Number of persons, 460003
Total, Total, Total, Sibiu, Year 2011, Number of persons, 461629
Total, Total, Total, Bacau, Year 1992, Number of persons, 751282
Total, Total, Total, Bacau, Year 1993, Number of persons, 752136
Total, Total, Total, Bacau, Year 1994, Number of persons, 752914
Total, Total, Total, Bacau, Year 1995, Number of persons, 754046
Total, Total, Total, Bacau, Year 1996, Number of persons, 754909
Total, Total, Total, Bacau, Year 1997, Number of persons, 754692
Total, Total, Total, Bacau, Year 1998, Number of persons, 755824
Total, Total, Total, Bacau, Year 1999, Number of persons, 757733
Total, Total, Total, Bacau, Year 2000, Number of persons, 759162
Total, Total, Total, Bacau, Year 2001, Number of persons, 761137
Total, Total, Total, Bacau, Year 2002, Number of persons, 762289
Total, Total, Total, Bacau, Year 2003, Number of persons, 762369
Total, Total, Total, Bacau, Year 2004, Number of persons, 761723
Total, Total, Total, Bacau, Year 2005, Number of persons, 761732
Total, Total, Total, Bacau, Year 2006, Number of persons, 761451
Total, Total, Total, Bacau, Year 2007, Number of persons, 760651
Total, Total, Total, Bacau, Year 2008, Number of persons, 760013
Total, Total, Total, Bacau, Year 2009, Number of persons, 759080
Total, Total, Total, Bacau, Year 2010, Number of persons, 757825
Total, Total, Total, Bacau, Year 2011, Number of persons, 754964
Total, Total, Total, Botosani, Year 1992, Number of persons, 488990
Total, Total, Total, Botosani, Year 1993, Number of persons, 485948
Total, Total, Total, Botosani, Year 1994, Number of persons, 484317
Total, Total, Total, Botosani, Year 1995, Number of persons, 483185
Total, Total, Total, Botosani, Year 1996, Number of persons, 482282
Total, Total, Total, Botosani, Year 1997, Number of persons, 480590
Total, Total, Total, Botosani, Year 1998, Number of persons, 480343
Total, Total, Total, Botosani, Year 1999, Number of persons, 480199
Total, Total, Total, Botosani, Year 2000, Number of persons, 480652
Total, Total, Total, Botosani, Year 2001, Number of persons, 481143
Total, Total, Total, Botosani, Year 2002, Number of persons, 481435
Total, Total, Total, Botosani, Year 2003, Number of persons, 481400
Total, Total, Total, Botosani, Year 2004, Number of persons, 480949
Total, Total, Total, Botosani, Year 2005, Number of persons, 480253
Total, Total, Total, Botosani, Year 2006, Number of persons, 479742
Total, Total, Total, Botosani, Year 2007, Number of persons, 477623
Total, Total, Total, Botosani, Year 2008, Number of persons, 475347
Total, Total, Total, Botosani, Year 2009, Number of persons, 473358
Total, Total, Total, Botosani, Year 2010, Number of persons, 471089
Total, Total, Total, Botosani, Year 2011, Number of persons, 468103
Total, Total, Total, Iasi, Year 1992, Number of persons, 823010
Total, Total, Total, Iasi, Year 1993, Number of persons, 823187
Total, Total, Total, Iasi, Year 1994, Number of persons, 824196
Total, Total, Total, Iasi, Year 1995, Number of persons, 826000
Total, Total, Total, Iasi, Year 1996, Number of persons, 827892
Total, Total, Total, Iasi, Year 1997, Number of persons, 828418
Total, Total, Total, Iasi, Year 1998, Number of persons, 831697
Total, Total, Total, Iasi, Year 1999, Number of persons, 835820
Total, Total, Total, Iasi, Year 2000, Number of persons, 839897
Total, Total, Total, Iasi, Year 2001, Number of persons, 843932
Total, Total, Total, Iasi, Year 2002, Number of persons, 847263
Total, Total, Total, Iasi, Year 2003, Number of persons, 849479
Total, Total, Total, Iasi, Year 2004, Number of persons, 850200
Total, Total, Total, Iasi, Year 2005, Number of persons, 850649
Total, Total, Total, Iasi, Year 2006, Number of persons, 852235
Total, Total, Total, Iasi, Year 2007, Number of persons, 854783
Total, Total, Total, Iasi, Year 2008, Number of persons, 857689
Total, Total, Total, Iasi, Year 2009, Number of persons, 860674
Total, Total, Total, Iasi, Year 2010, Number of persons, 863290
Total, Total, Total, Iasi, Year 2011, Number of persons, 865229
Total, Total, Total, Neamt, Year 1992, Number of persons, 599060
Total, Total, Total, Neamt, Year 1993, Number of persons, 598837
Total, Total, Total, Neamt, Year 1994, Number of persons, 599451
Total, Total, Total, Neamt, Year 1995, Number of persons, 599950
Total, Total, Total, Neamt, Year 1996, Number of persons, 599405
Total, Total, Total, Neamt, Year 1997, Number of persons, 598134
Total, Total, Total, Neamt, Year 1998, Number of persons, 597501
Total, Total, Total, Neamt, Year 1999, Number of persons, 597916
Total, Total, Total, Neamt, Year 2000, Number of persons, 598465
Total, Total, Total, Neamt, Year 2001, Number of persons, 598816
Total, Total, Total, Neamt, Year 2002, Number of persons, 598715
Total, Total, Total, Neamt, Year 2003, Number of persons, 598350
Total, Total, Total, Neamt, Year 2004, Number of persons, 597466
Total, Total, Total, Neamt, Year 2005, Number of persons, 596649
Total, Total, Total, Neamt, Year 2006, Number of persons, 595695
Total, Total, Total, Neamt, Year 2007, Number of persons, 593893
Total, Total, Total, Neamt, Year 2008, Number of persons, 592673
Total, Total, Total, Neamt, Year 2009, Number of persons, 591338
Total, Total, Total, Neamt, Year 2010, Number of persons, 590307
Total, Total, Total, Neamt, Year 2011, Number of persons, 588809
Total, Total, Total, Suceava, Year 1992, Number of persons, 714687
Total, Total, Total, Suceava, Year 1993, Number of persons, 715717
Total, Total, Total, Suceava, Year 1994, Number of persons, 717005
Total, Total, Total, Suceava, Year 1995, Number of persons, 718599
Total, Total, Total, Suceava, Year 1996, Number of persons, 719729
Total, Total, Total, Suceava, Year 1997, Number of persons, 720445
Total, Total, Total, Suceava, Year 1998, Number of persons, 721285
Total, Total, Total, Suceava, Year 1999, Number of persons, 722956
Total, Total, Total, Suceava, Year 2000, Number of persons, 724942
Total, Total, Total, Suceava, Year 2001, Number of persons, 727468
Total, Total, Total, Suceava, Year 2002, Number of persons, 729251
Total, Total, Total, Suceava, Year 2003, Number of persons, 729980
Total, Total, Total, Suceava, Year 2004, Number of persons, 730511
Total, Total, Total, Suceava, Year 2005, Number of persons, 731052
Total, Total, Total, Suceava, Year 2006, Number of persons, 732331
Total, Total, Total, Suceava, Year 2007, Number of persons, 733242
Total, Total, Total, Suceava, Year 2008, Number of persons, 734036
Total, Total, Total, Suceava, Year 2009, Number of persons, 735171
Total, Total, Total, Suceava, Year 2010, Number of persons, 736324
Total, Total, Total, Suceava, Year 2011, Number of persons, 737737
Total, Total, Total, Vaslui, Year 1992, Number of persons, 484030
Total, Total, Total, Vaslui, Year 1993, Number of persons, 482322
Total, Total, Total, Vaslui, Year 1994, Number of persons, 481336
Total, Total, Total, Vaslui, Year 1995, Number of persons, 480487
Total, Total, Total, Vaslui, Year 1996, Number of persons, 480609
Total, Total, Total, Vaslui, Year 1997, Number of persons, 478935
Total, Total, Total, Vaslui, Year 1998, Number of persons, 479227
Total, Total, Total, Vaslui, Year 1999, Number of persons, 479804
Total, Total, Total, Vaslui, Year 2000, Number of persons, 480621
Total, Total, Total, Vaslui, Year 2001, Number of persons, 481286
Total, Total, Total, Vaslui, Year 2002, Number of persons, 481408
Total, Total, Total, Vaslui, Year 2003, Number of persons, 480545
Total, Total, Total, Vaslui, Year 2004, Number of persons, 479333
Total, Total, Total, Vaslui, Year 2005, Number of persons, 478393
Total, Total, Total, Vaslui, Year 2006, Number of persons, 477766
Total, Total, Total, Vaslui, Year 2007, Number of persons, 476098
Total, Total, Total, Vaslui, Year 2008, Number of persons, 474483
Total, Total, Total, Vaslui, Year 2009, Number of persons, 472704
Total, Total, Total, Vaslui, Year 2010, Number of persons, 470922
Total, Total, Total, Vaslui, Year 2011, Number of persons, 468251
Total, Total, Total, Braila, Year 1992, Number of persons, 397569
Total, Total, Total, Braila, Year 1993, Number of persons, 397139
Total, Total, Total, Braila, Year 1994, Number of persons, 396817
Total, Total, Total, Braila, Year 1995, Number of persons, 396521
Total, Total, Total, Braila, Year 1996, Number of persons, 396155
Total, Total, Total, Braila, Year 1997, Number of persons, 395145
Total, Total, Total, Braila, Year 1998, Number of persons, 394709
Total, Total, Total, Braila, Year 1999, Number of persons, 394430
Total, Total, Total, Braila, Year 2000, Number of persons, 393011
Total, Total, Total, Braila, Year 2001, Number of persons, 391999
Total, Total, Total, Braila, Year 2002, Number of persons, 390803
Total, Total, Total, Braila, Year 2003, Number of persons, 389212
Total, Total, Total, Braila, Year 2004, Number of persons, 387105
Total, Total, Total, Braila, Year 2005, Number of persons, 385470
Total, Total, Total, Braila, Year 2006, Number of persons, 384135
Total, Total, Total, Braila, Year 2007, Number of persons, 381908
Total, Total, Total, Braila, Year 2008, Number of persons, 379622
Total, Total, Total, Braila, Year 2009, Number of persons, 377274
Total, Total, Total, Braila, Year 2010, Number of persons, 375170
Total, Total, Total, Braila, Year 2011, Number of persons, 372373
Total, Total, Total, Buzau, Year 1992, Number of persons, 532731
Total, Total, Total, Buzau, Year 1993, Number of persons, 530527
Total, Total, Total, Buzau, Year 1994, Number of persons, 528816
Total, Total, Total, Buzau, Year 1995, Number of persons, 526992
Total, Total, Total, Buzau, Year 1996, Number of persons, 525572
Total, Total, Total, Buzau, Year 1997, Number of persons, 522747
Total, Total, Total, Buzau, Year 1998, Number of persons, 520684
Total, Total, Total, Buzau, Year 1999, Number of persons, 518989
Total, Total, Total, Buzau, Year 2000, Number of persons, 517750
Total, Total, Total, Buzau, Year 2001, Number of persons, 516576
Total, Total, Total, Buzau, Year 2002, Number of persons, 514931
Total, Total, Total, Buzau, Year 2003, Number of persons, 513258
Total, Total, Total, Buzau, Year 2004, Number of persons, 511236
Total, Total, Total, Buzau, Year 2005, Number of persons, 509207
Total, Total, Total, Buzau, Year 2006, Number of persons, 507129
Total, Total, Total, Buzau, Year 2007, Number of persons, 504794
Total, Total, Total, Buzau, Year 2008, Number of persons, 502883
Total, Total, Total, Buzau, Year 2009, Number of persons, 500997
Total, Total, Total, Buzau, Year 2010, Number of persons, 498838
Total, Total, Total, Buzau, Year 2011, Number of persons, 496028
Total, Total, Total, Constanta, Year 1992, Number of persons, 738687
Total, Total, Total, Constanta, Year 1993, Number of persons, 744652
Total, Total, Total, Constanta, Year 1994, Number of persons, 748395
Total, Total, Total, Constanta, Year 1995, Number of persons, 750247
Total, Total, Total, Constanta, Year 1996, Number of persons, 750834
Total, Total, Total, Constanta, Year 1997, Number of persons, 751720
Total, Total, Total, Constanta, Year 1998, Number of persons, 752104
Total, Total, Total, Constanta, Year 1999, Number of persons, 753935
Total, Total, Total, Constanta, Year 2000, Number of persons, 755063
Total, Total, Total, Constanta, Year 2001, Number of persons, 755775
Total, Total, Total, Constanta, Year 2002, Number of persons, 756933
Total, Total, Total, Constanta, Year 2003, Number of persons, 757505
Total, Total, Total, Constanta, Year 2004, Number of persons, 758397
Total, Total, Total, Constanta, Year 2005, Number of persons, 760014
